title;rating;chapters;description;url
Doomsday Smuggler: I Trade Spicy Strips for Gold Bars;;65;"In the apocalypse, the smuggler reigns, and spicy strips are king! While other people's online snack orders go wrong, Chen Yang receives a ""bonus"" ring that lets him travel to a wasteland world. In the real world he's a boss; in the ruined world he becomes an overlord. As others are still struggling just to survive, he's already using spicy strips to trade for technology and climbing straight to the peak of life.";https://demonicscans.org/manga/Doomsday-Smuggler%253A-I-Trade-Spicy-Strips-for-Gold-Bars
Dungeon Architect;;74;Kang Chiwoo lost his life in an accident and got reincarnated as the son of a great demon lord in another world. Unlike his previous life as a map designer, he is now a loser named Kella. However, in a world where magic exists and having realized the dormant power of Kella, Chiwoo sets out to achieve his goal of creating his dream map that he couldn't make in his past life... Will Kella be able to create his own map while fending off his brothers who constantly try to kill him, the countless threats upon his life, and the pressure of those around him who want him to succeed the throne?;https://demonicscans.org/manga/Dungeon-Architect
Dungeon Crawler Carl;;51;You know what's worse than breaking up with your girlfriend? Getting stuck on a sadistic alien gameshow with her cat. Join Carl and Princess Donut as they try to survive the end of the world -- or just get to the next level of a trap-filled fantasy dungeon.;https://demonicscans.org/manga/Dungeon-Crawler-Carl
Dungeon Games: The Ex-Corporate Slave Dominates with the Ultimate Job,;;32;"Yuma Anno, a corporate slave who has given up on life, suddenly awakens to the legendary profession of ""Playboy"" in a world invaded by dungeons. His skills are truly outlandish. With skills such as ""Bluffing,"" which distorts the perception of others, and ""Playfulness,"" which brings out the hidden potential of items, and his free-spirited thinking, he conquers the dungeons. Yuma, who has rediscovered his joy, gives courage to the people he meets in the dungeons. ""Playing expands people's potential."" A heartwarming tale of unparalleled power for modern people burdened with worries begins here!";https://demonicscans.org/manga/Dungeon-Games%253A-The-Ex%25252DCorporate-Slave-Dominates-with-the-Ultimate-Job%252C-%2522Trickster%2522
Dungeon porter;;71;"A world where only those with innate talent can become adventurers who conquer dungeons.The world defined ""Nagi"" as a porter who cannot become an adventurer.But if you clear a dungeon, doesn't that make you an adventurer?Combat skills: 0! Survival abilities: Max level!The dungeon conquest story of the all-purpose porter, Nagi, defying fate!";https://demonicscans.org/manga/Dungeon-porter
Echoes of the Reverse Planet;;46;"After being transferred into the dimension of [Reverse Planet], the world's most popular online VR game, the ordinary college student Baek Woohyun returns. It was the homecoming he had dreamed of... except the damn game is still running as if nothing ever happened, and the vengeful shades of comrades who died over there hound him day and night, urging him to take revenge. Determined to uncover the connection between the game and the world he escaped from, Woohyun logs back into [Reverse Planet]. For better or for worse, he doesn't cross over again, but he does appear on a streamer's broadcast during a chance encounter... Then an anonymous watcher named ""Viewer 62"" sends him a message. ""How does it feel to be back in reality?"" ??? ????, Superhuman's Gaming Stream";https://demonicscans.org/manga/Echoes-of-the-Reverse-Planet
Emperor of Solo Play;;81;Betrayed by his guild and defeated by a top player, Hyrkan loses everything. Before he can get revenge, a fatal accident ends his life--only for him to wake up years in the past, back at the start of Warlord. Now, with his memories intact, he's determined to rise to the top alone. But in a game where power means everything, can he truly survive without any allies? The Emperor of Solo Play is back, and this time, he's playing by his own rules.;https://demonicscans.org/manga/Emperor-of-Solo-Play
Empire of the Ants;;33;Human Civilization: Jonathan Wells inherits his uncle's house and moves in with his family. Wanting to learn more about his uncle, Jonathan receives a note from his grandmother containing Edmond Wells' final warning: never go down into the basement. By chance, Jonathan enters the basement once, and afterward finds himself drawn back to it as if under a spell, pulled deeper into mysteries his uncle left behind.;https://demonicscans.org/manga/Empire-of-the-Ants
Even Today, the Ranker Dreams of Retirement;;58;"A sister rewinds time to rescue her brother from doom, but fate laughs: he's now the reluctant vessel of a godlike Constellation begging him to ""destroy the world"" while he shrugs (""But I just got rich and found my family?""). As S-rank hunters swarm him for his power, she fights to preserve his carefree NEET dreams in this chaotic comedy of cosmic proportions.";https://demonicscans.org/manga/Even-Today%252C-the-Ranker-Dreams-of-Retirement
Extraordinary World! I, a vampire...;;43;"Ten years ago, when faced with an alien civilization's invasion, Earth's ""Extraordinary"" ability users not only stood up to fight back, but also transferred their powers into ""ability books"" for ordinary people to learn. After humanity joined forces to repel the alien invaders, Earth had already become a world where only ""ability users"" reign supreme. Today, Quinn--whose parents died in battle and who has no money to buy an ""ability book""--steps through the gates of the military academy. What no one knows is that he is desperately craving blood...";https://demonicscans.org/manga/Extraordinary-World%2521-I%252C-a-vampire...
Fantasy Enlistment Squad;;34;The Jeokun Mountains, the immediate border between the Demon Tribe and the Alien Federation, are the final strategic stronghold where training and actual combat occur simultaneously. The Federation forces are constantly recruiting and selecting soldiers to find the ten Transcendents revealed in the Book of Prophecy and reclaim lost territory. However, more terrifying than the war with the Demon Tribe are the absurdities and harsh treatment of military life.;https://demonicscans.org/manga/Fantasy-Enlistment-Squad
Feasting Lord in Another world;;31;A revolution is born in the humble fishing village of Evergreen... and it's about to shake an entire world! Reincarnated in a new realm, a brilliant nutritionist rises--not with swords or sorcery, but with knowledge, flavor, and unstoppable ambition. Armed with modern culinary science, they're ready to turn simple ingredients into a delicious empire. From a modest kitchen sparks a conquest unlike any other-- A conquest of kingdoms through taste. A takeover powered by innovation, strategy, and mouth-watering creations this world has never imagined. Prepare for a feast of ambition, transformation, and flavor that changes destiny itself. Welcome to Evergreen;https://demonicscans.org/manga/Feasting-Lord-in-Another-world
Fight Monsters with Monsters;;30;Kim Han-ul dreamed of becoming the world's greatest Hunter. But blocked by the insurmountable wall of talent, he's stuck as a lowly E-Rank Hunter, barely making ends meet as a gaming streamer. One day, his go-to tower defense game announces its sudden end of service. As a final send-off, Han-ul challenges the legendary 700th wave... a notoriously impossible stage no player has ever beaten and miraculously clears it. In that exact moment, a blinding light consumes him, and he undergoes a Second Awakening! He finally has his hands on a top-tier skill. This is his chance to rise the ranks and make his Hunter dreams a reality! But wait... something feels off. As he tries to test out his newfound power, the monsters he summons are completely different from the badass creatures he expected...?!;https://demonicscans.org/manga/Fight-Monsters-with-Monsters
Fighting App: Level Up or Get Beat Down;;30;"Naoki Mizushima, a first-year high school student, spends his days being bullied and used as a practice dummy for pro-wrestling moves by his classmate, Tsukamoto. Just when he feels completely powerless, something strange appears before him -- a mysterious smartphone app called ""The Fight App""? According to its suspicious description, landing a hit on someone earns you points, which can then be used to learn new combat techniques useful in battle... Desperate and with nothing to lose, Mizushima installs the app and gives it a try... But to his shock... it actually works?! Can Mizushima use The Fight App to finally protect himself...?";https://demonicscans.org/manga/Fighting-App%253A-Level-Up-or-Get-Beat-Down
